Date,Open,High,Low,Close,Adj Close,Volume
2019/02/04,165.7,169.3,163.62,169.25,169.25,19980980
2019/02/01,165.84,169.1,165.66,165.71,165.71,30742790
2019/01/31,165.6,171.68,165,166.69,166.69,77005780
2019/01/30,146.22,150.95,145.6953,150.42,150.42,41676170
2019/01/29,148.09,148.1,143.43,144.19,144.19,17451800
2019/01/28,148.05,148.96,146.21,147.47,147.47,15242960
2019/01/25,147.48,149.83,146.54,149.01,149.01,22227160
2019/01/24,144.64,146.44,142.52,145.83,145.83,20932280
2019/01/23,148.28,148.8,143.055,144.3,144.3,20060100
2019/01/22,149.2,151.53,146.37,147.57,147.57,22310570
2019/01/18,149.75,152.43,148.55,150.04,150.04,30631520
2019/01/17,146.95,149,146.5,148.3,148.3,15480790
2019/01/16,149,149.6499,146.9975,147.54,147.54,17977150
2019/01/15,146.01,150.68,145.99,148.95,148.95,24036820
2019/01/14,142,146.57,141.27,145.39,145.39,19864680
2019/01/11,143.15,145.36,142.57,143.8,143.8,12780600
2019/01/10,143.08,144.56,140.84,144.2,144.2,16057330
2019/01/09,142.95,144.7,141.27,144.23,144.23,22131500
2019/01/08,139.89,143.14,139.54,142.53,142.53,26191030
2019/01/07,137.56,138.87,135.91,138.05,138.05,19988840
2019/01/04,134.01,138,133.75,137.95,137.95,27973370
2019/01/03,134.69,137.17,131.12,131.74,131.74,22448730
2019/01/02,128.99,137.51,128.56,135.68,135.68,27967450
2018/12/31,134.45,134.64,129.95,131.09,131.09,24552820
2018/12/28,135.34,135.92,132.2,133.2,133.2,22351260
2018/12/27,132.44,134.99,129.67,134.52,134.52,30305940
2018/12/26,126,134.24,125.89,134.18,134.18,39526860
2018/12/24,123.1,129.74,123.02,124.06,124.06,22066000
2018/12/21,133.39,134.9,123.42,124.95,124.95,56624760
2018/12/20,130.7,135.57,130,133.4,133.4,40202130
2018/12/19,141.21,144.91,132.5,133.24,133.24,57110060
2018/12/18,141.08,145.93,139.8301,143.66,143.66,23678090
2018/12/17,143.08,144.92,138.42,140.19,140.19,23838160
2018/12/14,143.34,146.01,142.51,144.06,144.06,21773500
2018/12/13,145.57,145.85,143.19,145.01,145.01,18090420
2018/12/12,143.08,147.19,142.51,144.5,144.5,23349970
2018/12/11,143.88,143.88,141.1,142.08,142.08,19429850
2018/12/10,139.6,143.05,139.01,141.85,141.85,26315700
2018/12/07,139.25,140.87,136.6566,137.42,137.42,20583170
2018/12/06,133.82,139.7,133.67,139.63,139.63,27625310
2018/12/04,140.73,143.39,137.16,137.93,137.93,30227750
2018/12/03,143,143.6799,140.76,141.09,141.09,24697080
2018/11/30,138.26,140.966,137.36,140.61,140.61,25716150
2018/11/29,135.92,139.99,135.66,138.68,138.68,23935390
2018/11/28,136.28,136.7899,131.85,136.76,136.76,28701670
2018/11/27,135.75,136.6126,133.71,135,135,20477390
2018/11/26,133,137,132.78,136.38,136.38,23459920
2018/11/23,133.65,134.5,131.2551,131.73,131.73,11886130
2018/11/21,134.4,137.19,134.13,134.82,134.82,25365750
2018/11/20,127.03,134.1592,126.85,132.43,132.43,41888940
2018/11/19,137.61,137.75,131.21,131.55,131.55,44051860
2018/11/16,141.07,141.77,137.77,139.53,139.53,37139590
2018/11/15,142.33,144.84,140.83,143.85,143.85,29803280
2018/11/14,143.7,145.58,141.55,144.22,144.22,22019830
2018/11/13,142,144.88,141.62,142.16,142.16,15062230
2018/11/12,144.48,145.04,140.4899,141.55,141.55,18387680
2018/11/09,146.75,147.76,144.07,144.96,144.96,17305480
2018/11/08,150.49,150.94,146.74,147.87,147.87,24061590
2018/11/07,151.57,153.01,149.83,151.53,151.53,21740210
2018/11/06,149.31,150.97,148,149.94,149.94,16302120
2018/11/05,150.1,150.19,147.44,148.68,148.68,15894150
