Date,Open,High,Low,Close,Adj Close,Volume
2019/02/04,342.6,352,341.3,351.34,351.34,9024097
2019/02/01,337.18,346.84,336.5,339.85,339.85,9822615
2019/01/31,339.68,345.99,338.0919,339.5,339.5,8493725
2019/01/30,332.75,341.78,330.8,340.66,340.66,9081266
2019/01/29,335.87,338.22,328.151,328.9,328.9,7619808
2019/01/28,334.7,336.3,328.88,335.66,335.66,8639403
2019/01/25,328.72,340,328.51,338.05,338.05,11147040
2019/01/24,320.6,331.8,319,326.67,326.67,11115040
2019/01/23,328.25,331.75,318.6,321.99,321.99,13456260
2019/01/22,334.89,336.88,321.03,325.16,325.16,17909440
2019/01/18,351.97,353,336.73,339.1,339.1,26583340
2019/01/17,349.5,355.79,346.41,353.19,353.19,18238350
2019/01/16,354,358.85,348.11,351.39,351.39,15345670
2019/01/15,349.6,357.22,347,354.64,354.64,21133450
2019/01/14,334.24,335.48,329.13,332.94,332.94,10460420
2019/01/11,330.96,341.09,328.52,337.59,337.59,19458690
2019/01/10,314.57,325.37,312.5,324.66,324.66,13398180
2019/01/09,317.71,323.3508,313.5,319.96,319.96,13307980
2019/01/08,319.98,320.593,308.01,320.27,320.27,15279550
2019/01/07,302.1,316.8,301.65,315.34,315.34,18586260
2019/01/04,281.88,297.8,278.54,297.57,297.57,19299450
2019/01/03,270.2,275.79,264.43,271.2,271.2,14946970
2019/01/02,259.28,269.7499,256.58,267.66,267.66,11612970
2018/12/31,260.16,270.1001,260,267.66,267.66,13496880
2018/12/28,257.94,261.9144,249.8,256.08,256.08,10972920
2018/12/27,250.11,255.59,240.1,255.565,255.565,12124430
2018/12/26,233.92,254.5,231.23,253.67,253.67,14203700
2018/12/24,242,250.65,233.68,233.88,233.88,9547616
2018/12/21,263.83,264.5,241.29,246.39,246.39,21359330
2018/12/20,264.64,269.9,251.88,260.58,260.58,16769340
2018/12/19,269.96,280.87,263.77,266.77,266.77,13767940
2018/12/18,263.3,275.75,263.29,270.94,270.94,10330450
2018/12/17,266.51,272.98,261.075,262.8,262.8,9616301
2018/12/14,271.81,277.6665,265,266.84,266.84,9908930
2018/12/13,277.64,279.32,271.85,276.02,276.02,8373219
2018/12/12,267.66,281.7695,266.48,274.88,274.88,11439180
2018/12/11,274.08,274.5,262.76,265.32,265.32,9823745
2018/12/10,264.19,271.18,260.6094,269.7,269.7,9582549
2018/12/07,282.48,284.209,263.38,265.14,265.14,12454720
2018/12/06,268.33,283.22,267.14,282.88,282.88,13043830
2018/12/04,288.13,295.74,274.72,275.33,275.33,12762320
2018/12/03,293.19,298.72,284.58,290.3,290.3,14098100
2018/11/30,288,290.81,283.061,286.13,286.13,11835670
2018/11/29,282.32,290.49,275.5,288.75,288.75,15016520
2018/11/28,271.98,284,263.34,282.65,282.65,14773990
2018/11/27,259.24,269.08,256.14,266.63,266.63,10956480
2018/11/26,260.55,266.25,253.8,261.43,261.43,12490330
2018/11/23,260.11,265.5,256.84,258.82,258.82,5245123
2018/11/21,274.42,275.34,261.51,262.13,262.13,11014290
2018/11/20,254.63,276.34,250,266.98,266.98,16676540
2018/11/19,283.79,285.09,269.15,270.6,270.6,12486920
2018/11/16,287.14,291.72,281,286.21,286.21,9084589
2018/11/15,285.51,292.5,282.16,290.06,290.06,9874546
2018/11/14,300.4,301.84,278.2969,286.73,286.73,16807390
2018/11/13,295,303.55,289.1,294.4,294.4,12117170
2018/11/12,300,302.49,290.63,294.07,294.07,10886490
2018/11/09,311.07,312.98,298.01,303.47,303.47,13463170
2018/11/08,328,332.0499,316.6103,317.92,317.92,11008020
2018/11/07,312.9,328.56,311,327.5,327.5,13308030
2018/11/06,314.76,320.22,305.3,310.84,310.84,9659785
2018/11/05,311.1,317.53,303.74,315.44,315.44,10247430
